병원명,기관구분,주소,지역,위도,경도
남원시 정신건강복지센터,기초정신건강복지센터,전라북도 남원시 동문로 42-1(남원농협 동문지점 2층),전라북도,35.4093960397116,127.386275275295
남자담쟁이,정신재활시설,"경기도 성남시 중원구 자혜로 8번길 59-5호, 1층",경기,37.4455606594722,127.158529762068
남해군 정신건강복지센터,기초정신건강복지센터,경상남도 남해군 남해읍 선소로 6,경상남도,34.8447498769141,127.898785702774
내동화세상,정신재활시설,서울특별시 도봉구 도봉산 3길 17-16,서울,37.6864251961872,127.044190168564
내마음까페,정신재활시설,"충청남도 서산시 지곡면 충의로 762-78, 늘푸른오스카빌 102동 1005호",충청남도,36.8428114488663,126.448522516859
네잎클로버,정신재활시설,경기도 수원시 팔달구 월드컵로 321번길34-20 나동 2층 301호,경기,37.2866492914527,127.032033657346
노원구 정신건강복지센터,기초정신건강복지센터,"서울특별시 노원구 노해로 455, 인산빌딩 5층",서울,37.6541750459494,127.058520463625
노원아이존,정신재활시설,"서울특별시 노원구 한글비석로 326, 3층",서울,37.6565230496255,127.078327032564
노원희망공간이룸,정신재활시설,"서울특별시 노원구 한글비석로 422, 2층(상계동)",서울,37.6620264368073,127.070299634066
노정신건강의학과의원,기초정신건강복지센터,서울특별시 마포구 성산로4길 15 3층,서울,37.563368493241,126.907895665906
논산시 정신건강복지센터,기초정신건강복지센터,충청남도 논산시 논산대로382,충청남도,36.196077385035,127.103564735082
논산정신요양원,정신요양시설,충청남도 논산시 상월면 월오1길 54,충청남도,36.3048510601218,127.128202708558
누리봄,정신재활시설,서울특별시 광진구 용마산로 25길 10,서울,37.5667699331622,127.085888706693
늘푸른집,정신재활시설,서울특별시 도봉구 시루봉로 295-3,서울,37.6715507251553,127.041812230084
늘푸른집,정신재활시설,세종특별자치시 연서면 효교로 135-22,세종,36.5720274887684,127.237945991089
늘푸름,정신재활시설,경기도 오산시 은여울로 59,경기,37.159599755185,127.072645413292
닛시복지마을,정신재활시설,충청북도 괴산군 문광면 흑석2길 20-148,충청북도,36.7486969056143,127.823666468383
다솜,정신재활시설,서울특별시 구로구 고척로 10길 9-5,서울,37.4989017021411,126.841821880247
다솜,정신재활시설,대전광역시 유성구 은구비남로 55 ,대전,36.3734241120674,127.320912901566
다온집,정신재활시설,경기도 안양시 만안구 양화로106번길 8402호,경기,,
다옴공동체,정신재활시설,대전광역시 유성구 원내로 9-8,대전,36.2996959659474,127.317167127753
다우리공동생활가정,정신재활시설,충청남도 천안시 동남구 고재15길 19-4,충청남도,36.8014446145116,127.161271040255
다원공동체,정신재활시설,대전광역시 유성구 진잠옛로 135번길 115,대전,,
다정다감 ,정신재활시설,"경기도 평택시 점촌1로 6번길 60, 신성공원빌라 302호(서정동)",경기,37.0610017482268,127.057735778395
다정이네,정신재활시설,"서울특별시 종로구 세검정로 7가길 18, 301호",서울,37.6023722858973,126.958981518146
다함정신건강 상담센터,정신재활시설,"서울특별시 성북구 보문로34길 39, 4층",서울,37.5907688492516,127.017457877523
단국대학교 의과대학 부속병원,기초정신건강복지센터,경기도 안성시 강변로 74번길 18 안성시보건소 4층,경기,37.0001696051437,127.269813139866
단양군 정신건강복지센터,기초정신건강복지센터,충청북도 단양군 단양읍 삼봉로 53,충청북도,36.9815124992855,128.350241961007
달구벌정신 건강센터,정신재활시설,"대구광역시 동구 신성로 63, 3층(신암동)",대구,35.8804501605705,128.613363845574
달성정신재활센터 해피하우스,정신재활시설,"대구광역시 달성군 화원읍 성화로 20, 2층",대구,35.8008813726563,128.490585562634
달팽이의 꿈,정신재활시설,경기도 안성시 금광면 배티로 702-16,경기,36.9779464409831,127.308814626156
담양군 정신건강복지센터,기초정신건강복지센터,전라남도 담양군 담양읍 완동길 10-11,전라남도,35.3250279491981,126.981239742229
담쟁이,정신재활시설,경기도 성남시 중원구 자혜로 16번길 45-6 202호 럭키아트빌,경기,37.4464484491184,127.159852030717
당진시 정신건강복지센터,기초정신건강복지센터,충청남도 당진시 서부로 56,충청남도,36.8873596890327,126.630472507837
대구가톨릭 사회복지회,중독관리통합지원센터,대구광역시 달서구 학산로 50 ,대구,35.8288865111811,128.534465007109
대구가톨릭 사회복지회,중독관리통합지원센터,경상북도 구미시 검성로 115-1,경상북도,36.1182736174266,128.429909030386
대구가톨릭대학교,기초정신건강복지센터,"대구광역시 동구 동촌로79, 동구보건소4층 ",대구,35.8881220889311,128.65121659913
대구가톨릭대학교의료원,광역정신건강복지센터,대구광역시 남구 두류공원로 17길 대구가톨릭대학교병원 내 라파엘관 5층,대구,,
대구광역시립희망원 아름마을,정신요양시설,대구광역시 달성군 화원읍 명천로 58,대구,35.8038352306958,128.509582571777
대구광역자살예방센터,자살예방센터,대구광역시 남구 두류공원로 17길 33 대구가톨릭대학교병원 라파엘관 5층,대구,35.8441891121102,128.565825660965
대구대학교 정신건강상담센터,정신재활시설,경상북도 경산시 진량읍 대구대로 201 대구대학교 경산캠퍼스 조형예술대학 3호관 1층,경상북도,35.904538973767,128.842813264293
대구위니스,정신재활시설,대구광역시 북구 옥산로 49 상미빌딩 3층,대구,35.8856404541341,128.581258435434
대구의료원,기초정신건강복지센터,대구광역시 서구 북비산로71길7 2층,대구,35.8801614806405,128.572399932114
대구재활센터,정신재활시설,대구광역시 달서구 성서공단북로 124,대구,35.8441952502071,128.486192676626
